cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
175	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
174	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
415	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
416	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
369	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
366	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
367	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
365	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
381	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
259	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
1155	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
1151	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
54	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
226	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
221	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
220	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
155	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
156	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
159	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
1394	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
238	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
